제목,저자,발행기관,학술지명,권호사항,발행연도,작성언어,주제어,KDC,등재정보,자료형태,발행기관 URL,수록면,KCI 피인용횟수,비고,중단사유,제공처,소장기관,국문 초록 (Abstract),다국어 초록 (Multilingual Abstract),목차,exclude_reason
『용재총화(?齋叢話)』의 한자어휘(漢字語彙) 자료(資料)에 대하여,최상진,한국어문교육연구회,어문연구(The Society for Korean Language & Literary Research),"Vol.20No.4[1992]
",1992,,,700,KCI등재,"학술저널
",,470-485,,,, KISS,중앙대학교 서울캠퍼스 중앙도서관,,,,short_abstract
‘빌리다’류(類) 어휘(語彙)의 의미(意味) 관계(關係)와 사용(使用) 양상(樣相) - 반의관계(反義關係)를 중심으로 - = A Study on the Sematic Relation and Aspect of Using of Vocabulary ‘Bilrida(borrow)’-type,이수연 ( Lee Soo-yeon ),한국어문교육연구회,어문연구(The Society for Korean Language & Literary Research),"Vol.46No.1[2018]
",2018,,"빌리다,빌려주다,방향(方向) 반의관계(反義關係),중의성(重義性),반의어(反義語),중화(中和),모순어(矛盾語),Bilrida(borrow),Bilryeojuda(lend),directional antonymy,semantic relations,ambiguity,antonymy,neutralization,contronymy",700,KCI등재,"학술저널
",,85-109,,,," KCI, &nbsp;&nbsp; KISS",홍익대학교 중앙도서관,,"The purpose of this paper is to describe and explain the lexical meaning and aspect of using of ‘Bilrida/Bilryeojuda(borrow/lend)-type verbs’. There are many words to express meaning of ‘borrow’ and ‘lend’ in Korean and some of them can express oppositional meaning(borrow/lend) in context. For example, ‘Daeyeohada(대여하다)’, ‘Imdaehada(임대하다)’ mean sometimes ‘to borrow’ and sometimes ‘to lend’. For analyzing the phenomena, we discussed about neutralization of antonymy especially in directional antonymy, contradictory homonyms, and contronymy. Next, we discussed about the semantic description in dictionaries and meanings of sentences extracted in the 21st Sejong Balanced Corpus. These words are directional antonymy, because they express about same event, but express the opposing points of view. Also, this paper investigated frequency in use of words and showed meaning structure. And it explained the method of resolving ambiguity of these words and semantic differences between ‘Bilrida/Bilryeojuda(borrow/ lend)-type verbs’.",,short_abstract
초등 KSL 學習者 대상 이중언어 강사 協力 敎授 方案 연구 –竝存 言語 敎授法 기반 社會科 語彙 學習을 중심으로– = Bilingual Instructor Co-teaching Practices for Elementary KSL Learners : Focusing on social studies vocabulary education based on the adjunct language teaching method,"이인원,강남욱",한국어문교육연구회,어문연구(The Society for Korean Language & Literary Research),"Vol.52No.4[2024]
",2024,Korean,"초등 KSL 학습자,이중언어강사 협력 교수,병존언어교수,사회 교과 개념어,Elementary KSL learners,Bilingual instructor co-teaching,Adjunct language teaching method,Social studies academic conceptual vocabulary",,KCI등재,"학술저널
",,265-299,,,," KCI, &nbsp;&nbsp; KISS",고려대학교 도서관,,"This study aims to support elementary Korean learners with limited proficiency in Korean in understanding and participating in curricular learning. This is achieved through collaboration between a “Korean subject teacher,” who teaches the target language, and a “bilingual instructor,” who uses the learners’ native language as a medium. The study emphasizes the use of the “adjunct language teaching method,” particularly focusing on the core conceptual vocabulary of the subject area. The study explores the learning process and outcomes of Korean learners and their collaborative teaching experiences with bilingual instructors.
This study involved six Korean learners in grade 6 at Elementary School A in Gyeonggi-do, South Korea, who taught social studies for 15 sessions (two classes per week) from April to July. By collaborating with bilingual instructors, we were able to understand the pre-migration educational experiences of KSL learners, participate in designing teaching models and developing teaching materials before class, and analyze learners’ responses after class.
In particular, the KSL learners’ active questioning and participation in the classroom enabled them to transcend the limits of their language proficiency and develop as active participants in class. This study is significant as it suggests a direction for collaborative teaching with bilingual instructors and proposes a plan for KSL learners’ curriculum learning within the context of multicultural education in Korea.",,short_abstract
어휘로 살펴본 『三綱行實圖』 諺解本의 原稿 作成 時期 = Date of the Annotation Manuscript of Samganghaengsildo eunhaebon through Vocabulary Analysis,이상훈(李相勳) ( Lee Sang-hoon ),한국어문교육연구회,어문연구(The Society for Korean Language & Literary Research),"Vol.52No.1[2024]
",2024,,"삼강행실도,삼강행실도 어휘,삼강행실도 원고,원고 작성 시기,□□,Samganghaengsildo,vocabulary of Samganghaengsildo,Manuscript of Samganghaengsildo,Date of writing manuscript,Sanjai",700,KCI등재,"학술저널
",,5-29,,,," KCI, &nbsp;&nbsp; KISS",고려대학교 도서관,,"This study argues that certain vocabulary in the annotation manuscript of Samganghaengsildo eunhaebon(1490) suggests that some portions of the manuscript were written before its publication in 1490.
Previous studies assert that the language of this book exhibits characteristics of the mid-to-late 15th century based on script characters, notation, grammatical forms, Chinese phonetics, and tone markings. However, this study does not claim that every term in the book reflects a pre-publication period. By identifying vocabulary not used during the reign of King Sejong but found in earlier documents, this study argues that this book’s vocabulary also possesses characteristics of the mid-to-late 15th century.
The vocabulary examined in this study, such as ‘Turipsari (두립사리), Malda (□다), Meotda (멎다), Mopkui (모□), Mujida (무지다), Sanjai (□□), Yangja (樣子), and Eobimat (어비□)’ is only seen in this book and in literature of the mid-15th century.",,short_abstract
한국어 고급 학습자의 연어습득양상 연구 = A Study on Collocation Acquisition by Advanced Korean Learners,장미경,이중언어학회,이중언어학(Bilingual Research),"Vol.39No.-[2009]
",2009,Korean,"연어 습득(collocation acquisition),중간언어(interlanguage),어휘적 연어(lexical collocation),학습자 말뭉치(learners’ corpus),연어 교육 원리(theory of teaching collocation),연어 습득(collocation acquisition),중간언어(interlanguage),어휘적 연어(lexical collocation),학습자 말뭉치(learners’ corpus),연어 교육 원리(theory of teaching collocation)",,KCI등재,"학술저널
",http://www.korbiling.org,293-316,8,,," KCI, &nbsp;&nbsp; 스콜라",,,"This study investigated how advanced Korean learners comprehend and produce Korean vocabulary with a focus on acquisition of collocations. With an assumption that there exists an interlanguage in second language learners’ vocabulary acquisition, those developmental stages in collocation acquisition will be reviewed. Considering the importance of analyzing learners’ corpus and the lack of research dealing with spoken data, this study collected advanced Korean learners’ interview sample and selected samples of lexical collocation. Through this process, acquired list of collocations was distinguished from non-acquired list of collocations which can be considered errors in collocation, for which probable reasons and types were further investigated. The results of this analysis will contribute to offering the foundation for developing ideal theory of teaching collocations and effective classroom activities for the study and practice of collocations.",,short_abstract
한국어 학습자를 위한 한자어의 의미 제시 방안 연구－‘가’음이 포함된 한자어를 중심으로－ = A study on the meaning explanation of sino-Korean word for Korean learners－Focusing on sino-Korean words containing the sound of ‘ga’－,박상숙 ( Park Sang-sook ),인하대학교 한국학연구소,한국학연구(Korean Studies),"Vol.0No.51[2018]
",2018,,"어휘교육,한자어,의미구성소,Vocabulary Education,sino-korean words,element of meaning",900,KCI등재,"학술저널
",,475-494,,,," KCI, &nbsp;&nbsp; KISS",,,"The purpose of this paper is to suggest a method for teaching the meaning of sino-korean words to Korean learners. The vocabulary plays a significant role in the use of foreign languages, so vocabulary education is very important in foreign language learning.
Korean vocabulary has a lot of sino-korean words. Therefore, it is important for Korean learners to understand sino-Korean words in Korean vocabulary learning.
There have been many discussions about the necessity of education for Chinese characters in the education of sino-korean words. In this regard, I agree with the claim that the education of sino-korean words is not necessary for the education of Chinese characters and I would like to insist education methods for sino-korean words based on the element of meaning. In this paper, we will focus on the sino-korean words including the sound of ‘ga’.",,short_abstract
국민학교(國民學校)에 있어서의 작문지도(作文指導)와 어휘신장(語彙伸張),김용희,한국어문교육연구회,어문연구(The Society for Korean Language & Literary Research),"Vol.16No.2[1988]
",1988,,,700,KCI등재,"학술저널
",,294-299,,,, KISS,연세대학교 학술문화처 도서관,,,,short_abstract
가례언해(家禮諺解)에 나타난 어휘형성고(語彙形成考) - 특(特)히 한자어(漢字語)를 중심(中心)으로,이덕흥,한국어문교육연구회,어문연구(The Society for Korean Language & Literary Research),"Vol.13No.4[1985]
",1985,,,700,KCI등재,"학술저널
",,435-453,,,, KISS,연세대학교 학술문화처 도서관,,,,short_abstract
‘날씨’를 나타내는 한 미얀마어 어휘 사용 양상 연구- 초급 어휘를 중심으로 = A Contrastive Study on the Use of Weather-Related Vocabulary in Korean and Myanmar: A Focus on Beginner-Level Vocabulary,웨 노에 흐닌 쏘,동북아시아문화학회,동북아 문화연구(Journal of North-east Asian cultures),"Vol.1No.82[2025]
",2025,Korean,"한국어 날씨 명사,미얀마어 날씨 명사,기상,계절과 날씨 명사 대조,대조 연구,말뭉치 분석,날씨,계절과 날씨 명사 교육 방향,Korean Weather Nouns,Myanmar Weather Nouns,Meteorology,Contrasting Seasonal and Weather Nouns,Contrastive Study,Corpus Analysis,Weather,Directions for Teaching Seasonal and Weather Nouns",,KCI등재,"학술저널
",,283-304,,,," KCI, &nbsp;&nbsp; DBpia",,,"Seasons and weather strongly influence a country’s lifestyle and culture, including its language and literary traditions. Therefore, these concepts are essential for understanding a country, and related vocabulary is crucial for second-language learners. Korean language learners are frequently exposed to weather forecasts, both in Korea and abroad (in their home countries). However, learners in Myanmar – where only summer, winter and rainy season exist – often struggle with Korean seasonal and weather-related vocabulary due to Korea’s four distinct seasons. This study examines previous research on seasons and weather and highlights differences in meaning and usage between the two languages, with a focus on beginner-level vocabulary.
The results showed that among the season-related compound expressions in Korean, “scorching summer,” “welcoming fall” and “passing the winter” have direct equivalents in Myanmar. However, “deepening winter” does not, as the dictionary meaning of “deep” which conveys a sense of temporal depth does not exist in the Myanmar language. For other season-related compound expressions, most did not have direct equivalents. A contrastive analysis revealed that while the two languages share weather-related vocabulary, the usage of descriptive terms differs. In particular, in Korean, when forms of precipitation such as snow, rain, frost, and dew move vertically from top to bottom, they are paired with the word “fall.” Similarly, liquids such as raindrops, water droplets and water that fall vertically are used in combination with the word “drop.” However, in Myanmar, the native terms “ဆင းသည (hsin:thi; “to fall”) and “က သည (kjathi; “to drop”) can be used interchangeably, making it crucial to highlight these linguistic differences through lexical semantic analysis. By addressing these differences, beginner learners in Myanmar can acquire weather-related vocabulary more accurately and avoid errors such as “rain is dropping” (မိုး ရွာနေတယ; mou:jwanei.de) due to mother tongue interference, thereby improving communication fluency.
This study analyzes the linguistic differences between Korean and Myanmar and may provide useful insights for Korean language schools in Myanmar as well as for Myanmar-speaking Korean learners in Korea. However, the limitations of this study include reliance on basic dictionary meanings and dictionary usage, as well as instances where Google searches and researcher’s intuition were used for vocabulary not found in the Myanmar-Myanmar dictionary.",,short_abstract
한국어 학습자의 말하기 자기 평가에 나타난 더닝 크루거 효과 ,정진,한국언어과학회,언어과학(Journal of Language Sciences),"Vol.28No.1[2021]
",2021,Korean,"한국어교육,말하기,자기 평가,더닝 크루거 효과,상위 인지 능력,인식 불일치,Korean language education,speaking,self-assessment,Dunning-Kruger effect,metacognitive ability,perceptual mismatch",710,KCI등재,"학술저널
",,231-250,0,,," KCI, &nbsp;&nbsp; eArticle",부경대학교 중앙도서관,,,"Abstract
1. 서론
2. 더닝 크루거 효과
3. 연구 방법
4. 연구 결과
	4.1. 내용에 대한 평가
	4.2. 전개에 대한 평가
	4.3. 어휘에 대한 평가
	4.4. 문법에 대한 평가
	4.5. 발음에 대한 평가
5. 결론
참고문헌
","short_abstract,no_relevant_keyword"
일본(日本) 지명어휘(地名語彙) [武藏(musasi)]에 대하여,심보경,한국어문교육연구회,어문연구(The Society for Korean Language & Literary Research),"Vol.28No.1[2000]
",2000,,,700,KCI등재,"학술저널
",,83-101,,,, KISS,충남대학교 중앙도서관,,,,short_abstract
